Transaction Date;Description;Debit;Credit;Running Balance;Internal Code
01/05/2025;Opening Balance;;;2500.00;INIT-001
02/05/2025;Starbucks Coffee;15.75;;2484.25;POS-992
05/05/2025;Monthly Salary;;4200.00;6684.25;TFR-442
08/05/2025;Landlord Rent;1200.00;;5484.25;CHQ-102
10/05/2025;Amazon.com Marketplace;85.20;;5399.05;POS-811
12/05/2025;ATM Withdrawal;200.00;;5199.05;CASH-05
14/05/2025;Interest Credited;;1.45;5200.50;INT-2024
15/05/2025;Netflix.com Subscription;19.99;;5180.51;POS-102
16/05/2025;Whole Foods Market;142.30;;5038.21;POS-103
17/05/2025;Shell Oil Gas Station;55.00;;4983.21;POS-104
18/05/2025;Zelle Transfer - Mom;100.00;;4883.21;XFR-001
20/05/2025;Verizon Wireless Bill;115.00;;4768.21;ACH-552
22/05/2025;Adobe Creative Cloud;52.99;;4715.22;POS-105
24/05/2025;Refund - Amazon Marketplace;;24.50;4739.72;REF-991
25/05/2025;Electric Utility Bill;88.40;;4651.32;ACH-553
28/05/2025;Local Pub & Grill;64.00;;4587.32;POS-106
30/05/2025;Transfer to Savings;1000.00;;3587.32;XFR-002
01/06/2025;Gym Membership;45.00;;3542.32;POS-107
05/06/2025;Monthly Salary;;4200.00;7742.32;TFR-443
06/06/2025;Uber Trip;22.50;;7719.82;POS-108
06/06/2025;Uber Eats;38.15;;7681.67;POS-109
08/06/2025;Landlord Rent;1200.00;;6481.67;CHQ-103
10/06/2025;Apple.com/Bill;9.99;;6471.68;POS-110
12/06/2025;Costco Wholesale;312.45;;6159.23;POS-111
14/06/2025;Home Depot;78.20;;6081.03;POS-112
15/06/2025;Netflix.com Subscription;19.99;;6061.04;POS-113
18/06/2025;City Water Dept;42.10;;6018.94;ACH-554
20/06/2025;Pharmacy Health;35.00;;5983.94;POS-114
22/06/2025;Check Deposit;;150.00;6133.94;DEP-001
25/06/2025;Steam Games;29.99;;6103.95;POS-115
27/06/2025;Pet Supplies Plus;54.20;;6049.75;POS-116
29/06/2025;Maintenance Fee;5.00;;6044.75;FEE-001
30/06/2025;Interest Credited;;1.62;6046.37;INT-2025
01/07/2025;Gym Membership;45.00;;6001.37;POS-117
03/07/2025;Starbucks Coffee;12.85;;5988.52;POS-118
05/07/2025;Monthly Salary;;4200.00;10188.52;TFR-444
06/07/2025;Amazon.com Marketplace;63.40;;10125.12;POS-119
08/07/2025;Landlord Rent;1200.00;;8925.12;CHQ-104
10/07/2025;Apple.com/Bill;9.99;;8915.13;POS-120
12/07/2025;Whole Foods Market;154.75;;8760.38;POS-121
14/07/2025;ATM Withdrawal;100.00;;8660.38;CASH-06
15/07/2025;Netflix.com Subscription;19.99;;8640.39;POS-122
17/07/2025;Shell Oil Gas Station;61.20;;8579.19;POS-123
20/07/2025;Electric Utility Bill;91.60;;8487.59;ACH-555
22/07/2025;Restaurant Downtown;72.45;;8415.14;POS-124
24/07/2025;Refund - Grocery Store;;18.90;8434.04;REF-992
26/07/2025;Transfer to Savings;1500.00;;6934.04;XFR-003
29/07/2025;Pharmacy Health;27.30;;6906.74;POS-125
31/07/2025;Interest Credited;;1.71;6908.45;INT-2026
01/08/2025;Gym Membership;45.00;;6863.45;POS-126
03/08/2025;Uber Trip;19.40;;6844.05;POS-127
05/08/2025;Monthly Salary;;4200.00;11044.05;TFR-445
07/08/2025;Costco Wholesale;286.10;;10757.95;POS-128
08/08/2025;Landlord Rent;1200.00;;9557.95;CHQ-105
10/08/2025;Apple.com/Bill;9.99;;9547.96;POS-129
12/08/2025;Home Depot;118.45;;9429.51;POS-130
15/08/2025;Netflix.com Subscription;19.99;;9409.52;POS-131
16/08/2025;Zelle Transfer - Mom;150.00;;9259.52;XFR-004
18/08/2025;Shell Oil Gas Station;58.90;;9200.62;POS-132
20/08/2025;City Water Dept;43.25;;9157.37;ACH-556
22/08/2025;Check Deposit;;325.00;9482.37;DEP-002
24/08/2025;Amazon.com Marketplace;142.80;;9339.57;POS-133
27/08/2025;Local Pub & Grill;68.50;;9271.07;POS-134
30/08/2025;Maintenance Fee;5.00;;9266.07;FEE-002
31/08/2025;Interest Credited;;2.05;9268.12;INT-2027
01/09/2025;Gym Membership;45.00;;9223.12;POS-135
04/09/2025;Starbucks Coffee;14.20;;9208.92;POS-136
05/09/2025;Monthly Salary;;4200.00;13408.92;TFR-446
08/09/2025;Landlord Rent;1200.00;;12208.92;CHQ-106
09/09/2025;Uber Eats;31.60;;12177.32;POS-137
10/09/2025;Apple.com/Bill;9.99;;12167.33;POS-138
12/09/2025;Whole Foods Market;167.25;;12000.08;POS-139
15/09/2025;Netflix.com Subscription;19.99;;11980.09;POS-140
17/09/2025;Electric Utility Bill;95.10;;11884.99;ACH-557
19/09/2025;ATM Withdrawal;120.00;;11764.99;CASH-07
21/09/2025;Steam Games;44.99;;11720.00;POS-141
23/09/2025;Refund - Steam;;15.00;11735.00;REF-993
25/09/2025;Transfer to Savings;2000.00;;9735.00;XFR-005
27/09/2025;Pet Supplies Plus;61.45;;9673.55;POS-142
30/09/2025;Interest Credited;;2.14;9675.69;INT-2028
01/10/2025;Gym Membership;45.00;;9630.69;POS-143
03/10/2025;Amazon.com Marketplace;97.80;;9532.89;POS-144
05/10/2025;Monthly Salary;;4200.00;13732.89;TFR-447
07/10/2025;Shell Oil Gas Station;52.75;;13680.14;POS-145
08/10/2025;Landlord Rent;1200.00;;12480.14;CHQ-107
10/10/2025;Apple.com/Bill;9.99;;12470.15;POS-146
12/10/2025;Costco Wholesale;245.90;;12224.25;POS-147
15/10/2025;Netflix.com Subscription;19.99;;12204.26;POS-148
18/10/2025;Restaurant Downtown;88.35;;12115.91;POS-149
20/10/2025;Electric Utility Bill;89.70;;12026.21;ACH-558
22/10/2025;Check Deposit;;500.00;12526.21;DEP-003
24/10/2025;Home Depot;134.60;;12391.61;POS-150
26/10/2025;Zelle Transfer - Friend;80.00;;12311.61;XFR-006
28/10/2025;Pharmacy Health;41.75;;12269.86;POS-151
30/10/2025;Maintenance Fee;5.00;;12264.86;FEE-003
31/10/2025;Interest Credited;;2.33;12267.19;INT-2029
01/11/2025;Gym Membership;45.00;;12222.19;POS-152
05/11/2025;Monthly Salary;;4200.00;16422.19;TFR-448
08/11/2025;Landlord Rent;1200.00;;15222.19;CHQ-108
10/11/2025;Apple.com/Bill;9.99;;15212.20;POS-153
12/11/2025;Whole Foods Market;138.40;;15073.80;POS-154
15/11/2025;Netflix.com Subscription;19.99;;15053.81;POS-155
20/11/2025;Electric Utility Bill;94.20;;14959.61;ACH-559
25/11/2025;Amazon.com Marketplace;56.30;;14903.31;POS-156
30/11/2025;Interest Credited;;2.45;14905.76;INT-2030
01/12/2025;Gym Membership;45.00;;14860.76;POS-157
05/12/2025;Monthly Salary;;4200.00;19060.76;TFR-449
08/12/2025;Landlord Rent;1200.00;;17860.76;CHQ-109
10/12/2025;Apple.com/Bill;9.99;;17850.77;POS-158
15/12/2025;Netflix.com Subscription;19.99;;17830.78;POS-159
18/12/2025;Holiday Shopping - Target;215.00;;17615.78;POS-160
22/12/2025;Shell Oil Gas Station;58.00;;17557.78;POS-161
28/12/2025;Transfer to Savings;3000.00;;14557.78;XFR-007
31/12/2025;Interest Credited;;2.10;14559.88;INT-2031
01/01/2026;Gym Membership;45.00;;14514.88;POS-162
05/01/2026;Monthly Salary;;4200.00;18714.88;TFR-450
08/01/2026;Landlord Rent;1200.00;;17514.88;CHQ-110
10/01/2026;Apple.com/Bill;9.99;;17504.89;POS-163
12/01/2026;Costco Wholesale;342.15;;17162.74;POS-164
15/01/2026;Netflix.com Subscription;19.99;;17142.75;POS-165
20/01/2026;Electric Utility Bill;102.50;;17040.25;ACH-560
25/01/2026;Check Deposit;;200.00;17240.25;DEP-004
31/01/2026;Interest Credited;;2.55;17242.80;INT-2032
01/02/2026;Gym Membership;45.00;;17197.80;POS-166
05/02/2026;Monthly Salary;;4200.00;21397.80;TFR-451
08/02/2026;Landlord Rent;1200.00;;20197.80;CHQ-111
10/02/2026;Apple.com/Bill;9.99;;20187.81;POS-167
14/02/2026;Restaurant Dinner;125.00;;20062.81;POS-168
15/02/2026;Netflix.com Subscription;19.99;;20042.82;POS-169
20/02/2026;City Water Dept;44.10;;19998.72;ACH-561
28/02/2026;Interest Credited;;2.80;20001.52;INT-2033
01/03/2026;Gym Membership;45.00;;19956.52;POS-170
05/03/2026;Monthly Salary;;4200.00;24156.52;TFR-452
08/03/2026;Landlord Rent;1200.00;;22956.52;CHQ-112
10/03/2026;Apple.com/Bill;9.99;;22946.53;POS-171
12/03/2026;Whole Foods Market;165.30;;22781.23;POS-172
15/03/2026;Netflix.com Subscription;19.99;;22761.24;POS-173
22/03/2026;Amazon.com Marketplace;89.90;;22671.34;POS-174
31/03/2026;Interest Credited;;3.15;22674.49;INT-2034
01/04/2026;Gym Membership;45.00;;22629.49;POS-175
05/04/2026;Monthly Salary;;4200.00;26829.49;TFR-453
08/04/2026;Landlord Rent;1200.00;;25629.49;CHQ-113
10/04/2026;Apple.com/Bill;9.99;;25619.50;POS-176
15/04/2026;Netflix.com Subscription;19.99;;25599.51;POS-177
20/04/2026;Electric Utility Bill;88.20;;25511.31;ACH-562
25/04/2026;Transfer to Savings;5000.00;;20511.31;XFR-008
30/04/2026;Interest Credited;;2.90;20514.21;INT-2035
01/05/2026;Gym Membership;45.00;;20469.21;POS-178
05/05/2026;Monthly Salary;;4200.00;24669.21;TFR-454
08/05/2026;Landlord Rent;1200.00;;23469.21;CHQ-114
10/05/2026;Apple.com/Bill;9.99;;23459.22;POS-179
15/05/2026;Netflix.com Subscription;19.99;;23439.23;POS-180
22/05/2026;Home Depot;74.50;;23364.73;POS-181
31/05/2026;Interest Credited;;3.20;23367.93;INT-2036
01/06/2026;Gym Membership;45.00;;23322.93;POS-182
05/06/2026;Monthly Salary;;4200.00;27522.93;TFR-455
08/06/2026;Landlord Rent;1200.00;;26322.93;CHQ-115
10/06/2026;Apple.com/Bill;9.99;;26312.94;POS-183
15/06/2026;Netflix.com Subscription;19.99;;26292.95;POS-184
